ID_nr,Date,Day,Month,Year,Time,decimalLatitude,decimalLongitude,verbatimCoordinates,GeoreferencingComments,georeferencedBy,coordinatePrecision,georeferenceVerificationStatus,Country,Province,Location,ProtectedArea,ProtectedAreaName,Elevation_m,RoadName,RoadType,RoadSurface,DrivingFrom,DrivingTo,TotalMileage,TimeStart,TimeEnd,RecordingRoadkill,Speed_kmh,OdometerReading,Class,vernacularName,Genus,ScientificName,Number,SpeciesComments,LivestockType,Sex,ActivityPhase,lifeStage,IncidentType,MeansOfReporting,Detail,Other,Photograph,HabitatGCategory,HabitatComments,FenceCategory,FenceComments,recordedBy,Institution,DataEnteredBy,fieldNotes
7889,23/03/15,23,3,2015,14:29:02,-29.1255,25.4619,NA,NA,Data provider,1e-5,NA,South Africa,Free State,Not recorded,No,N/A,Not given,Not given,Not given,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,No,Not recorded,Not recorded,Mammalia,aardwolf,Proteles,Proteles cristata,1,not given,Wildlife,Unknown,Nocturnal,Unknown,Road Collision,Cellphone app,Roadwatch,NA,No,Not given,Not given,Not given,Not given,Beryl Wilson,Public,Laura Goodman,NA
7893,23/03/15,23,3,2015,14:52:05,-29.2312,25.2351,NA,NA,Data provider,1e-5,NA,South Africa,Free State,Not recorded,No,N/A,Not given,Not given,Not given,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,No,Not recorded,Not recorded,Mammalia,suricate,Suricata,Suricata suricatta,1,ID as Meerkat,Wildlife,Unknown,Diurnal,Unknown,Road Collision,Cellphone app,Roadwatch,NA,No,Not given,Not given,Not given,Not given,Beryl Wilson,Public,Laura Goodman,NA
7897,23/03/15,23,3,2015,15:18:05,-29.2238,24.8981,NA,NA,Data provider,1e-5,NA,South Africa,Free State,Not recorded,No,N/A,Not given,Not given,Not given,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,No,Not recorded,Not recorded,Mammalia,suricate,Suricata,Suricata suricatta,1,ID as Meerkat,Wildlife,Unknown,Diurnal,Unknown,Road Collision,Cellphone app,Roadwatch,NA,No,Not given,Not given,Not given,Not given,Beryl Wilson,Public,Laura Goodman,NA
7898,23/03/15,23,3,2015,15:19:01,-29.2215,24.895,NA,NA,Data provider,1e-5,NA,South Africa,Free State,Not recorded,No,N/A,Not given,Not given,Not given,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,No,Not recorded,Not recorded,Mammalia,suricate,Suricata,Suricata suricatta,1,ID as Meerkat,Wildlife,Unknown,Diurnal,Unknown,Road Collision,Cellphone app,Roadwatch,NA,No,Not given,Not given,Not given,Not given,Beryl Wilson,Public,Laura Goodman,NA
7902,24/03/15,24,3,2015,16:39:00,-28.8936,24.6781,NA,NA,Data provider,1e-5,NA,South Africa,Northern Cape,Not recorded,No,N/A,Not given,Not given,Not given,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,No,Not recorded,Not recorded,Mammalia,slender mongoose,Galerella,Galerella sanguinea,1,not given,Wildlife,Unknown,Diurnal,Unknown,Road Collision,Cellphone app,Roadwatch,NA,No,Not given,Not given,Not given,Not given,Beryl Wilson,Public,Laura Goodman,NA
7904,27/03/15,27,3,2015,09:22:18,-23.09138325,29.38567478,NA,NA,Data provider,1e-5,NA,South Africa,Limpopo,Not recorded,No,N/A,Not given,Not given,Not given,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,No,Not recorded,Not recorded,Mammalia,black-backed jackal,Canis,Canis mesomelas,1,Jackal spp.,Wildlife,Unknown,Unknown,Unknown,Road Collision,Cellphone app,Roadwatch,NA,No,Not given,Not given,Not given,Not given,Sam Williams,Public,Laura Goodman,NA
7911,31/03/15,31,3,2015,15:30:01,-29.9223,22.9805,NA,NA,Data provider,1e-5,NA,South Africa,Northern Cape,Not recorded,No,N/A,Not given,Not given,Not given,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,No,Not recorded,Not recorded,Mammalia,striped polecat,Ictonyx,Ictonyx striatus,1,not given,Wildlife,Unknown,NA,Unknown,Road Collision,Cellphone app,Roadwatch,NA,No,Not given,Not given,Not given,Not given,Llewellen,Public,Laura Goodman,NA
7920,03/04/15,3,4,2015,06:19:02,-24.2439,27.4749,NA,NA,Data provider,1e-5,NA,South Africa,Limpopo,Not recorded,No,N/A,Not given,Not given,Not given,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,No,Not recorded,Not recorded,Mammalia,african civet,Civettictis,Civettictis civetta,1,not given,Wildlife,Unknown,Nocturnal,Unknown,Road Collision,Cellphone app,Roadwatch,NA,No,Not given,Not given,Not given,Not given,Irmgard Saayman,Public,Laura Goodman,NA
7922,03/04/15,3,4,2015,08:51:03,-25.9543,27.5651,NA,NA,Data provider,1e-5,NA,South Africa,Gauteng,Not recorded,No,N/A,Not given,Not given,Not given,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,No,Not recorded,Not recorded,Mammalia,black-backed jackal,Canis,Canis mesomelas,1,Jackal spp.,Wildlife,Unknown,Unknown,Unknown,Road Collision,Cellphone app,Roadwatch,NA,No,Not given,Not given,Not given,Not given,adam,Public,Laura Goodman,NA
7924,08/04/15,8,4,2015,10:06:05,-34.3422,19.67,NA,NA,Data provider,1e-5,NA,South Africa,Western Cape,Not recorded,No,N/A,Not given,Not given,Not given,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,No,Not recorded,Not recorded,Mammalia,caracal,Caracal,Caracal caracal,1,not given,Wildlife,Unknown,NA,Unknown,Road Collision,Cellphone app,Roadwatch,NA,No,Not given,Not given,Not given,Not given,Andrew de Blocq,Public,Laura Goodman,NA
