unique_code,vm_number,sp_code,collection,basis_of_record,collector,country,state_prov,locality,coords_unc,Year,month,day,order,family,genus,species,taxon_name,common_nam,red_data_s,url,decimallat,decimallon
79537,52099,550,PEM,Voucher,R N Erasmus,South Africa,Western Cape,Gamka Mountain National Reserve,centroid of 15x15 minute grid (QDS),1988,6,20,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-52099,-33.625,21.875
79538,52101,550,PEM,Voucher,W R Branch,South Africa,Western Cape,11km South of Outshoorn on main road to George,centroid of 15x15 minute grid (QDS),1991,10,15,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-52101,-33.625,22.125
79539,52102,550,PEM,Voucher,J. Vlok,South Africa,Western Cape,Stompdrift,centroid of 15x15 minute grid (QDS),1988,4,15,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-52102,-33.625,22.625
79540,52103,550,PEM,Voucher,W.R. Branch,South Africa,Western Cape,"Kammanasieberg, saddle of Mannetjiesberg.",centroid of 15x15 minute grid (QDS),1982,11,6,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-52103,-33.625,22.875
79541,52104,550,PEM,Voucher,W.R. Branch,South Africa,Western Cape,"Kammanasieberg, saddle of Mannetjiesberg.",centroid of 15x15 minute grid (QDS),1982,11,6,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-52104,-33.625,22.875
79542,52105,550,PEM,Voucher,W.R. Branch,South Africa,Western Cape,Kammanasieberg campsite.,centroid of 15x15 minute grid (QDS),1982,11,6,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-52105,-33.625,22.875
79543,52106,550,PEM,Voucher,W.R. Branch,South Africa,Western Cape,Kammanasieberg campsite.,centroid of 15x15 minute grid (QDS),1982,11,6,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-52106,-33.625,22.875
79544,52107,550,PEM,Voucher,W.R. Branch,South Africa,Western Cape,Kammanasieberg campsite.,centroid of 15x15 minute grid (QDS),1982,11,6,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-52107,-33.625,22.875
79545,52108,550,PEM,Voucher,W.R. Branch,South Africa,Western Cape,"Kammanasieberg plateau, end of South Fork.",centroid of 15x15 minute grid (QDS),1982,11,7,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-52108,-33.625,22.875
79546,52109,550,PEM,Voucher,C. Fernol,South Africa,Western Cape,"Kammanasieberg, south southeast of Mannetjiesberg",centroid of 15x15 minute grid (QDS),1994,8,12,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-52109,-33.625,22.875
79547,52110,550,PEM,Voucher,M. Burger,South Africa,Western Cape,"Kammanasieberg, south southeast of Mannetjiesberg",centroid of 15x15 minute grid (QDS),1994,8,12,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-52110,-33.625,22.875
79548,52111,550,PEM,Voucher,W.R. Branch,South Africa,Western Cape,"Kammanasieberg, West crest of saddle.",centroid of 15x15 minute grid (QDS),1982,11,6,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-52111,-33.625,22.875
